PARK_ID,RINK_ID,NAME,ADDRESS,WARD,ALTERNATE_NAME,MAJOR_CROSSSTREETS,FACILITY,PUBLIC_CHANGE_SPACE,BOARDS_Y_N,BOARDS_TYPE,TOILET,LIGHTS_TYPE,RINK_TYPE,SUPERVISION,ICE_MAINTENANCE,PARK_ADDRESS_FR,INSTALLATION_FR,SPACE_CHANGEMENT_PUBLIQUE_FR,PANNEAUX_Y_N_FR,PANNEAUX_FR,TOILETTE_FR,LUMI?RES_FR,PATINOIRE_TYPE_FR,SUPERVISION_FR,NAME_FR,OPEN_2012,Latitude,Longitude
701,164,ROY PARK,6210 MEADOWGLEN DR Gloucester,2,,Meadowglen/Orleans,NONE,,YES,TEMP,no,NONE,RINK with Puddle,NO,City,"6210, prom MEADOWGLEN",None,,Oui,Temp,Non,Non,patinoire avec flaque,Non,PARC ROY,Y,45.44922028280,-75.53095911960
321,139,DELORME PARK,6591 DELORME AVE Gloucester,2,,Des epinettes/Delmore,NONE,,NO,NONE,no,NONE,Puddle,NO,City,"6591, av DELORME",None,,Non,Non,Non,Non,flaque,Non,PARC DELORME,Y,45.45714658460,-75.51079551070
1005,168,ST. FRANCOIS PARK,1855 SIMARD DR Gloucester,2,,Orleans/Boyer,NONE,,YES,TEMP,no,NONE,RINK with Puddle,NO,City,"1855, prom SIMARD",None,,Oui,Temp,Non,Non,patinoire avec flaque,Non,PARC ST-FRANCOIS,Y,45.45160594900,-75.51909769250
67,132,BARRINGTON PARK,1705 ORLEANS BLVD Gloucester,2,,Barrington /Beasejour,TRAILER,YES,YES,PERM,NO,PERM,RINK with Puddle,YES,Community,"1705, boul ORLEANS",Trailer,Oui,Oui,Perm,Non,Oui,patinoire avec flaque,Oui,PARC BARRINGTON,Y,45.45746666890,-75.52233333360
1053,158,PIERRE ROCQUE PARK,1257 JOSEPH DROUIN AVE Gloucester,1,,St. Joseph/Saint Pierre,COMMUNITY CENTER,,YES,TEMP,YES,PERM,Rink with Puddle,NO,City,"1257, av JOSEPH DROUIN",Centre communautaire,,Oui,Temp,Oui,Oui,patinoire avec flaque,Non,PARC PIERRE-ROCQUE,Y,45.47584768060,-75.52487930910
460,145,GLEN PARK,1766 GREY NUNS DR Gloucester,1,,St. Joseph/Grey Nuns,NONE,,NO,NONE,no,PERM,Puddle,NO,City,"1766, prom GREY NUNS",None,,Non,Non,Non,Oui,flaque,Non,PARC GLEN,Y,45.46908140250,-75.53639056070
386,141,FALLINGBROOK PARK,681 DEANCOURT CRES Cumberland,1,,Princess Lousie/Deancourt,SCHOOL,,YES,PERM,YES,PERM,RINK with Puddle,YES,Community,"681, crois DEANCOURT",?cole,,Oui,Perm,Oui,Oui,patinoire avec flaque,Oui,PARC FALLINGBROOK,Y,45.48120188190,-75.48792916830
501,151,LOUIS PERRAULT PARK,6250 BEAUSEJOUR DR Gloucester,2,,Beausejour/Hunter's Run,NONE,,NO,NONE,no,NONE,Double Surface (End Boards),NO,City,"6250, prom BEAUSEJOUR",None,,Non,Non,Non,Non,surface double (conseils de fin),Non,PARC LOUIS-PERRAULT,Y,45.45806439660,-75.53146069600
1195,48,BAYSHORE PARK,175 WOODRIDGE CRES Nepean,7,,Carling/Acres,COMMUNITY BUILDING,YES,YES,PERM,YES,PERM,RINK with Puddle,YES,Community,"175, crois WOODRIDGE",Installation communautaire,Oui,Oui,Perm,Oui,Oui,patinoire avec flaque,Oui,PARC BAYSHORE,Y,45.35092994280,-75.80981774610
498,64,LAKEVIEW PARK,62 HORNER DR Nepean,7,,Carling/Corkstown,TRAILER - NEPEAN,YES,YES,TEMP,NO,PERM,RINK with Puddle,YES,Community,"62, prom HORNER",Trailer,Oui,Oui,Temp,Non,Oui,patinoire avec flaque,Oui,PARC LAKEVIEW,Y,45.34605303820,-75.82401701390
