OBJECTID,PARK_ID,FACILITYID,ADDRESS,SURFACE,CAPACITY,HANDICAP,PAY_PARK,PAY_TYPE,LIGHTING,FENCED,Latitude,Longitude
1,563,4979,321 KING EDWARD AVE Old Ottawa,asphalt,12,1,n,none,y,y,45.4308333355,-75.6863166672
2,573,25008,8 LADY GREY DR Old Ottawa,gravel,45,0,y,permit,n,n,45.4344634524,-75.7000510671
3,573,25009,8 LADY GREY DR Old Ottawa,asphalt,45,0,y,permit,y,n,45.4351047465,-75.6995389441
4,159,25010,2100 CABOT ST Old Ottawa,asphalt,28,2,n,none,y,n,45.389278748,-75.6719218484
5,1169,25011,1137 WELLINGTON ST Old Ottawa,gravel,5,2,n,none,y,y,45.402250002,-75.7269166662
6,157,25013,579 BYRON AVE Old Ottawa,asphalt,12,0,n,none,n,n,45.3775500022,-75.7746166672
7,727,25014,190 MORRENA RD Kanata,asphalt,26,2,n,none,n,n,45.2963156387,-75.8854729875
8,5,25015,70 AIRD PL Kanata,asphalt,250,7,n,none,y,n,45.3118403678,-75.8995411867
9,1054,25016,35 STAFFORD RD Nepean,asphalt,15,0,n,none,y,n,45.3286846479,-75.8220806548
10,187,25017,3259 CARLING AVE Nepean,asphalt,200,0,n,none,y,n,45.3514539951,-75.8287434924
11,187,25018,3259 CARLING AVE Nepean,dirt,150,0,n,none,y,y,45.3505403582,-75.8263252441
12,891,4913,345 RICHMOND RD Old Ottawa,asphalt,15,1,n,none,y,n,45.3924556278,-75.7542909056
13,52,4982,945 BANK ST Old Ottawa,asphalt,200,15,y,attendants,y,y,45.39723985,-75.6842931796
14,52,4983,945 BANK ST Old Ottawa,asphalt,1000,0,y,attendants,y,y,45.3987779829,-75.681774076
15,52,4984,945 BANK ST Old Ottawa,asphalt,1000,0,y,attendants,y,y,45.4005054626,-75.6816064488
16,52,25020,945 BANK ST Old Ottawa,asphalt,200,0,y,attendants,y,y,45.3995954039,-75.6857827485
17,52,4981,945 BANK ST Old Ottawa,asphalt,200,0,y,attendants,y,y,45.399257241,-75.6849659785
18,386,25022,681 DEANCOURT CRES Cumberland,asphalt,45,1,n,none,y,n,45.4810472183,-75.4879809219
19,843,25023,1600 PRESTWICK DR Cumberland,asphalt,22,0,n,none,n,n,45.4675376864,-75.498071926
20,1327,25024,499 DES EPINETTES AVE Cumberland,asphalt,26,2,n,none,n,n,45.4638241435,-75.4980181566
21,526,25025,1797 DES EPINETTES AVE Gloucester,asphalt,11,1,n,none,n,n,45.4609632638,-75.5083554744
22,195,25026,6601 CARRIERE ST Gloucester,asphalt,32,0,n,none,n,y,45.4663500025,-75.5237000002
23,476,25027,1410 HENRI LAUZON ST Gloucester,gravel,35,0,n,none,n,y,45.4632500027,-75.5366500006
24,67,25028,1705 ORLEANS BLVD Gloucester,asphalt,100,4,n,none,y,n,45.457216669,-75.5233833336
25,157,25012,579 BYRON AVE Old Ottawa,asphalt,7,0,n,none,n,n,45.3979500025,-75.7313000002
26,1003,25019,960 SILVER ST Old Ottawa,asphalt,18,1,n,none,y,n,45.3803903362,-75.7312025278
27,753,25021,2157 NORTHLANDS DR Cumberland,asphalt,24,0,n,none,n,n,45.4703753272,-75.4761347334
28,501,25029,6250 BEAUSEJOUR DR Gloucester,asphalt,35,1,n,none,n,y,45.4577189192,-75.5317097967
29,1005,25031,1855 SIMARD DR Gloucester,asphalt,14,1,n,none,n,n,45.4424675717,-75.5287375045
30,1219,25038,1490 YOUVILLE DR Gloucester,asphalt,118,0,n,none,y,n,45.467050002,-75.5459833333
31,1157,25046,100 WALTER BAKER PL Kanata,asphalt,220,4,n, ,y,n,45.2950772698,-75.9001234788
32,727,25053,190 MORRENA RD Kanata,asphalt,26,2,n, ,y,n,45.2962139536,-75.8853224875
33,181,4967,2730 CARLING AVE Old Ottawa,asphalt,18,1,n,none,n,n,45.3598613003,-75.7934112105
34,693,25064,1448 MEADOW DR Osgoode,asphalt,85,2,n,none,y,n,45.2613418654,-75.5568334607
35,925,25072,660 RIVER RD Gloucester,asphalt,42,2,n,none,n,n,45.2729333358,-75.6984833331
36,1321,25079,1660 BEARBROOK RD Gloucester,gravel,125,0,n,none,n,y,45.4428697956,-75.5757689426
37,768,25088,3447 OLD ALMONTE ROAD West Carleton,gravel,38,0,n,none,n,y,45.2593159504,-76.0616474875
38,37,25092,2185 ARCH ST Old Ottawa,asphalt,0,2,n,none,n,n,45.3908000021,-75.6306000006
39,444,25096,152 GRANDVIEW RD Nepean,asphalt,14,0,n,none,n,y,45.3611027831,-75.8568821634
40,943,25105,5715 ROCKDALE RD Cumberland,asphalt,49,1,n,none,y,n,45.3557994583,-75.3521694053
41,182,25108,2805 CARLING AVE Old Ottawa,gravel,50,0,n,none,y,n,45.3606082912,-75.7968409972
42,134,4943,100 BREWER WAY Old Ottawa,asphalt,60,0,n,none,y,n,45.3879246336,-75.6907359234
43,220,25112,260 CENTREPOINTE DR Nepean,asphalt,80,0,n,none,n,n,45.3397405782,-75.7705490517
44,783,25119,6160 ORLEANS BLVD Gloucester,asphalt,80,4,n,none,y,n,45.452978881,-75.5356638687
45,137,25128,65 STONEHAVEN DR Kanata,gravel,55,0,n,none,y,n,45.2898554287,-75.8562634622
46,80,25135,1365 HALTON TER Kanata,asphalt,70,0,n,none,y,n,45.3484240727,-75.9374363464
47,681,25142,307 MCARTHUR AVE Vanier,asphalt,200,2,n,none,y,y,45.4333686112,-75.6554809946
48,701,25030,6210 MEADOWGLEN DR Gloucester,asphalt,21,1,n,none,n,n,45.4493833359,-75.5291833338
49,1323,25032,5831 GLADEWOODS PL Gloucester,asphalt,20,2,n,none,n,y,45.4401486551,-75.5325943556
50,343,25033,1485 DUFORD DR Cumberland,asphalt,50,1,n,none,y,n,45.4712005341,-75.508244587
51,1053,25034,1257 JOSEPH DROUIN AVE Gloucester,gravel,100,0,n,none,n,y,45.4758036472,-75.5240892027
52,343,25035,1485 DUFORD DR Cumberland,asphalt,40,0,n,none,n,n,45.4701833359,-75.5082166661
53,1219,25036,1490 YOUVILLE DR Gloucester,asphalt,100,2,n,none,y,n,45.466033336,-75.5434333327
54,1219,25037,1490 YOUVILLE DR Gloucester,asphalt,165,6,n,none,y,n,45.4662666689,-75.5460166664
55,1219,25039,1490 YOUVILLE DR Gloucester,asphalt,10,0,n,none,y,n,45.4672621386,-75.5453560462
